Tweet ID,Text,User,Created At,Likes,Retweets,Sentiment
321486652804208713,This is the best day ever!,ericrobertson,2023-04-15 04:50:17,85,299,positive
923530997478880228,I hate it when things don't go my way.,kguzman,2023-04-15 05:49:38,876,838,negative
135979122537044133,Watching a movie tonight.,cristian67,2023-04-15 09:10:32,228,453,neutral
493003888109579139,Just had lunch with a friend.,gross,2023-04-15 09:19:49,123,365,neutral
230070445605983635,Feeling disappointed in myself.,susanherman,2023-04-15 18:43:02,884,890,negative
380330871181774192,Going for a walk in the park.,noneal,2023-04-15 21:26:53,845,659,neutral
889086058347992753,Watching a movie tonight.,grahameric,2023-04-16 01:57:21,105,621,neutral
872305240735398568,Just had lunch with a friend.,tcarlson,2023-04-16 05:27:44,770,150,neutral
762109056393736724,Feeling disappointed in myself.,swansonbecky,2023-04-16 06:12:59,603,964,negative
917168487363843706,This is the best day ever!,helen11,2023-04-16 06:27:19,642,340,positive
867936850796828962,I'm so upset right now.,bryanjones,2023-04-16 07:32:39,250,587,negative
841022975814276470,I'm so upset right now.,serranomegan,2023-04-16 11:06:31,489,959,negative
761951264372780144,I love my life!,varias,2023-04-16 13:52:10,785,273,positive
589360630658954294,I love my life!,michelle51,2023-04-16 13:59:39,579,149,positive
309342510079600410,Just had lunch with a friend.,llopez,2023-04-16 15:18:05,107,109,neutral
591055497955107337,I hate it when things don't go my way.,tjones,2023-04-16 21:28:02,264,149,negative
366762542976109750,Feeling disappointed in myself.,robertchambers,2023-04-16 21:38:48,974,395,negative
169055784762548718,Going for a walk in the park.,williamseileen,2023-04-16 23:36:29,824,335,neutral
520662279730278609,Going for a walk in the park.,mariemorse,2023-04-17 07:07:41,764,869,neutral
617820682191793743,Feeling disappointed in myself.,marcushoward,2023-04-17 08:37:46,209,524,negative
905316403774240396,Watching a movie tonight.,omyers,2023-04-17 09:02:24,945,637,neutral
647422801476499002,I'm so upset right now.,cyoung,2023-04-17 23:47:16,168,329,negative
473762721254360295,I love my life!,stephanieblair,2023-04-18 04:16:23,442,381,positive
833647474894073303,Going for a walk in the park.,mallorywhite,2023-04-18 04:57:55,392,870,neutral
